Sample,DNAmAge,Comment,noMissingPerSample,meanMethBySample,minMethBySample,maxMethBySample,corSampleVSgoldstandard,meanAbsDifferenceSampleVSgoldstandard,predictedGender,meanXchromosome
GSM989843,70.6010375884328,,0,0.271953582250706,0,0.9948077,0.968901539747957,0.056329000920616,male,0
GSM990405,66.7590945502951,,0,0.277068490775463,0,0.9972692,0.965602562658539,0.060365486171726,male,0
GSM989856,69.2267326575627,,0,0.275091316180797,0,0.9963639,0.96421955572836,0.061153170121261,male,0
GSM990624,72.9172969557576,,0,0.28915360182383,0,0.9977404,0.965228765666699,0.065401803716049,male,0
GSM990555,67.2517650284841,,0,0.278564544081212,0,0.9965457,0.965390073670183,0.061595759244233,male,0
GSM990348,71.259876514152,,0,0.280846720077006,0,0.9979586,0.959311647203193,0.066972086345522,male,0
GSM990356,56.6668748450548,,0,0.286331763474447,0,0.9979305,0.963435736100445,0.06539471043461,male,0
GSM990104,63.3240223236603,,0,0.276014004102703,0,0.997484,0.964515118262566,0.061691924200867,male,0
GSM990375,33.7626210202989,,0,0.280487428499029,0,0.9969406,0.967700383127201,0.059830771995503,male,0
GSM990019,68.2150143330893,,0,0.270432171614179,0,0.9963409,0.966781588178931,0.057252196468723,male,0
GSM990278,49.8480008803627,,0,0.277400560704401,0,0.9976144,0.96491560896991,0.061622216702367,male,0
GSM990359,60.4789614302615,,0,0.286295328480658,0,0.9977878,0.964960785873659,0.064523778989871,male,0
GSM989874,64.2553989115275,,0,0.272475099642257,0,0.9950545,0.968386917343222,0.057032917842633,male,0
GSM990366,61.5358513925331,,0,0.287750521503807,0,0.9974777,0.963314197534019,0.065968925551785,male,0
GSM989933,83.804415567813,,0,0.278163089032502,0,0.9967162,0.964052165900653,0.06172801547144,male,0
GSM990270,62.5696681635514,,0,0.284725593969957,0,0.9973482,0.966117495515499,0.063116826715931,male,0
GSM989883,65.7505091975508,,0,0.274078422356093,0,0.996388,0.96878322840359,0.056401699726705,male,0
GSM990365,59.7030082859564,,0,0.287023958640137,0,0.9974247,0.95680006769832,0.06970101906048,male,0
GSM990032,70.6011982009948,,0,0.282466467260717,0,0.9976819,0.961745716597479,0.065476854835555,male,0
GSM990584,71.6595176607838,,0,0.280391219035836,0,0.9969961,0.965894840342985,0.061220690072242,male,0
GSM989892,64.1447331418621,,0,0.278896528659684,0,0.9965719,0.964946781065869,0.061386289404225,male,0
GSM989829,63.9978103984383,,0,0.276491149195155,0,0.993583,0.969193633938537,0.057113328958776,male,0
GSM990545,65.9821636401534,,0,0.273667471532512,0,0.9972993,0.967024286499558,0.05851057592206,male,0
GSM990320,63.6992225220328,,0,0.277998641440475,0,0.9963826,0.967265331972862,0.0597733386277,male,0
GSM990567,67.8779590764012,,0,0.293024958748763,0,0.9973004,0.964366848077423,0.06712967612349,male,0
GSM989894,64.5493183527042,,0,0.268564731628764,0,0.9965708,0.970076844520453,0.05428887160746,male,0
GSM990010,73.3975631306189,,0,0.27899894682481,0,0.9969454,0.964945834776813,0.061834796405108,male,0
GSM990530,50.1977076546652,,0,0.284592795734684,0,0.9972069,0.969404860939411,0.059867560351119,male,0
GSM990464,53.2877577077341,,0,0.275654658638625,0,0.9970319,0.968481435917921,0.057862509384051,male,0
GSM990068,62.9798511376785,,0,0.273232102777165,0,0.9950061,0.966604838565462,0.058404312169039,male,0
GSM989997,42.7032923215715,,0,0.273268532063965,0,0.9964265,0.968898115573331,0.056430199689149,male,0
GSM990590,66.4435644633901,,0,0.292944321304083,0,0.9976636,0.96500404978743,0.066362771355226,male,0
GSM989827,53.6604221185514,,0,0.275467839233713,0,0.996447,0.969550735076639,0.056185535025929,male,0
GSM990336,63.9289715881302,,0,0.275866742990721,0,0.9972754,0.964576241501377,0.061737320915059,male,0
GSM989999,56.3603805410049,,0,0.275208425782514,0,0.9963434,0.970743863091658,0.055028820054104,male,0
GSM990494,75.3808757817882,,0,0.270323509569848,0,0.9971082,0.959882807014488,0.062413982289625,male,0
GSM990328,71.2432345974994,,0,0.272853945471049,0,0.9976345,0.964137483863843,0.061990747554924,male,0
GSM990416,57.661803050771,,0,0.280191678624251,0,0.9975246,0.966587942877932,0.061352820132808,male,0
GSM989889,57.866033963424,,0,0.285038402933501,0,0.9969766,0.970153696358398,0.056997906346815,male,0
GSM990627,76.284935403396,,0,0.279342733178279,0,0.9977426,0.960354111395497,0.065875572752916,male,0
GSM990099,67.1144719170471,,0,0.276169379914426,0,0.9972016,0.964904892853321,0.061852336762896,male,0
GSM990438,53.4245750445028,,0,0.291385050986794,0,0.9970981,0.964969489991094,0.066807522449972,male,0
GSM989929,73.6171414581225,,0,0.26557129091554,0,0.9941226,0.96412148771928,0.058041386482197,male,0
GSM990535,52.6976877584877,,0,0.286324631531147,0,0.9972003,0.968478801108916,0.061420132819186,male,0
GSM989932,74.5686246540154,,0,0.275856789497807,0,0.9967771,0.967052730660676,0.058327074332486,male,0
