,Sample,Age,Sex,Tissue
662,E-GEOD-36194_GSM401555,62.0,male,cerebellum
663,E-GEOD-36194_GSM401657,41.0,female,cerebellum
665,E-GEOD-36194_GSM401578,53.0,male,cerebellum
668,E-GEOD-36194_GSM401629,56.0,male,cerebellum
669,E-GEOD-36194_GSM401611,17.0,male,cerebellum
670,E-GEOD-36194_GSM401597,49.0,male,cerebellum
675,E-GEOD-36194_GSM401642,73.0,male,cerebellum
676,E-GEOD-36194_GSM401570,39.0,male,cerebellum
677,E-GEOD-36194_GSM401620,87.0,male,cerebellum
680,E-GEOD-36194_GSM884527,24.0,female,cerebellum
682,E-GEOD-36194_GSM884524,49.0,male,cerebellum
683,E-GEOD-36194_GSM884451,42.0,male,cerebellum
686,E-GEOD-36194_GSM884557,85.0,male,cerebellum
690,E-GEOD-36194_GSM884518,63.0,female,cerebellum
691,E-GEOD-36194_GSM884490,94.0,male,cerebellum
692,E-GEOD-36194_GSM884494,7.0,male,cerebellum
693,E-GEOD-36194_GSM884403,31.0,male,cerebellum
695,E-GEOD-36194_GSM884565,76.0,male,cerebellum
696,E-GEOD-36194_GSM884519,1.0,male,cerebellum
697,E-GEOD-36194_GSM884381,19.0,female,cerebellum
698,E-GEOD-36194_GSM884401,58.0,female,cerebellum
699,E-GEOD-36194_GSM884411,17.0,male,cerebellum
700,E-GEOD-36194_GSM884449,45.0,male,cerebellum
701,E-GEOD-36194_GSM884523,11.0,male,cerebellum
702,E-GEOD-36194_GSM884511,95.0,female,cerebellum
704,E-GEOD-36194_GSM884405,16.0,female,cerebellum
706,E-GEOD-36194_GSM884474,19.0,female,cerebellum
710,E-GEOD-36194_GSM884532,81.0,male,cerebellum
711,E-GEOD-36194_GSM884422,16.0,male,cerebellum
712,E-GEOD-36194_GSM884515,19.0,female,cerebellum
714,E-GEOD-36194_GSM884555,86.0,male,cerebellum
717,E-GEOD-36194_GSM884559,83.0,male,cerebellum
718,E-GEOD-36194_GSM884456,45.0,male,cerebellum
719,E-GEOD-36194_GSM884491,52.0,male,cerebellum
720,E-GEOD-36194_GSM884485,44.0,female,cerebellum
721,E-GEOD-36194_GSM884471,12.0,female,cerebellum
722,E-GEOD-36194_GSM884489,91.0,male,cerebellum
724,E-GEOD-36194_GSM884461,50.0,male,cerebellum
725,E-GEOD-36194_GSM884564,83.0,male,cerebellum
726,E-GEOD-36194_GSM884426,44.0,male,cerebellum
727,E-GEOD-36194_GSM884529,53.0,male,cerebellum
728,E-GEOD-36194_GSM884388,42.0,male,cerebellum
730,E-GEOD-36194_GSM884427,19.0,male,cerebellum
731,E-GEOD-36194_GSM884459,12.0,male,cerebellum
732,E-GEOD-36194_GSM884567,78.0,male,cerebellum
735,E-GEOD-36194_GSM884538,88.0,female,cerebellum
737,E-GEOD-36194_GSM884418,91.0,male,cerebellum
738,E-GEOD-36194_GSM884470,25.0,female,cerebellum
739,E-GEOD-36194_GSM884450,15.0,male,cerebellum
742,E-GEOD-36194_GSM884395,102.0,female,cerebellum
743,E-GEOD-36194_GSM884487,97.0,male,cerebellum
744,E-GEOD-36194_GSM884541,92.0,male,cerebellum
745,E-GEOD-36194_GSM884397,79.0,male,cerebellum
746,E-GEOD-36194_GSM884505,32.0,female,cerebellum
747,E-GEOD-36194_GSM884389,23.0,female,cerebellum
748,E-GEOD-36194_GSM884377,42.0,male,cerebellum
749,E-GEOD-36194_GSM884465,86.0,male,cerebellum
750,E-GEOD-36194_GSM884539,90.0,female,cerebellum
751,E-GEOD-36194_GSM884551,73.0,male,cerebellum
752,E-GEOD-36194_GSM884412,73.0,male,cerebellum
754,E-GEOD-36194_GSM884466,80.0,male,cerebellum
755,E-GEOD-36194_GSM884495,42.0,male,cerebellum
757,E-GEOD-36194_GSM884522,18.0,male,cerebellum
758,E-GEOD-36194_GSM884501,19.0,male,cerebellum
761,E-GEOD-36194_GSM884420,68.0,male,cerebellum
762,E-GEOD-36194_GSM884504,20.0,male,cerebellum
763,E-GEOD-36194_GSM884509,71.0,male,cerebellum
764,E-GEOD-36194_GSM884415,90.0,female,cerebellum
765,E-GEOD-36194_GSM884464,89.0,female,cerebellum
766,E-GEOD-36194_GSM884386,51.0,male,cerebellum
768,E-GEOD-36194_GSM884384,21.0,male,cerebellum
769,E-GEOD-36194_GSM884477,51.0,female,cerebellum
770,E-GEOD-36194_GSM884498,25.0,female,cerebellum
772,E-GEOD-36194_GSM884376,19.0,female,cerebellum
773,E-GEOD-36194_GSM884392,2.0,female,cerebellum
774,E-GEOD-36194_GSM884554,89.0,male,cerebellum
776,E-GEOD-36194_GSM884394,95.0,female,cerebellum
777,E-GEOD-36194_GSM884431,45.0,male,cerebellum
778,E-GEOD-36194_GSM884558,78.0,female,cerebellum
780,E-GEOD-36194_GSM884417,66.0,male,cerebellum
781,E-GEOD-36194_GSM884481,14.0,male,cerebellum
784,E-GEOD-36194_GSM884407,15.0,female,cerebellum
785,E-GEOD-36194_GSM884548,89.0,male,cerebellum
786,E-GEOD-36194_GSM884430,79.0,male,cerebellum
787,E-GEOD-36194_GSM884457,0.0,female,cerebellum
788,E-GEOD-36194_GSM884453,36.0,female,cerebellum
789,E-GEOD-36194_GSM884375,24.0,female,cerebellum
790,E-GEOD-36194_GSM884525,14.0,male,cerebellum
791,E-GEOD-36194_GSM884493,14.0,male,cerebellum
793,E-GEOD-36194_GSM884448,13.0,male,cerebellum
794,E-GEOD-36194_GSM884503,2.0,female,cerebellum
797,E-GEOD-36194_GSM884438,42.0,male,cerebellum
798,E-GEOD-36194_GSM884408,16.0,male,cerebellum
799,E-GEOD-36194_GSM884540,81.0,male,cerebellum
800,E-GEOD-36194_GSM884530,49.0,male,cerebellum
802,E-GEOD-36194_GSM884550,82.0,male,cerebellum
804,E-GEOD-36194_GSM884486,48.0,female,cerebellum
805,E-GEOD-36194_GSM884421,63.0,male,cerebellum
806,E-GEOD-36194_GSM884437,49.0,male,cerebellum
807,E-GEOD-36194_GSM884452,4.0,male,cerebellum
809,E-GEOD-36194_GSM884482,17.0,female,cerebellum
810,E-GEOD-36194_GSM884536,87.0,female,cerebellum
811,E-GEOD-36194_GSM884387,31.0,male,cerebellum
812,E-GEOD-36194_GSM884469,46.0,male,cerebellum
